Sort,SampleSite_ID,SamplePoint_ID,ApproximateAddress,Park_Name,City,Year_Built,Parcel_Number,Latitude,Longitude,Adjusted_Lat,Adjusted_Long,Land_Use,Demolition_Type,Point_Notes,Soil_Series,SamplePoint_ID,Soil_Series,MapUnit,MapUnit_Key,SurveyArea,MapUnitName,MapUnit_Logic
140,CLS14,CLP27,927 E 72,927 E 72,Cleveland,1910,10516079,41.5295,-81.6388,41.5295,-81.6388,FILL,PRE,,Elnora,CLP27,Elnora,UeA,287272,OH035,"Urban land-Elnora complex, nearly level","Widespread, and only, Elnora map unit near point."
143,CLS14,CLP28,927 E 72,927 E 72,Cleveland,1910,10516079,41.5295,-81.6388,41.5295,-81.6388,NATIVE,PRE,,Elnora,CLP28,Elnora,UeA,287272,OH035,"Urban land-Elnora complex, nearly level","Widespread, and only, Elnora map unit near point."
151,CLS15,CLP29,2700 GRAND,2700 GRAND,Cleveland,1890,12620018,41.4856,-81.6275,41.4856,-81.6275,FILL,POST,,Elnora,CLP29,Elnora,UeA,287272,OH035,"Urban land-Elnora complex, nearly level",Elnora map unit that contains the point.
156,CLS15,CLP30,2700 GRAND,2700 GRAND,Cleveland,1890,12620018,41.4856,-81.6275,41.4856,-81.6275,NATIVE,POST,,Elnora,CLP30,Elnora,UeA,287272,OH035,"Urban land-Elnora complex, nearly level",Elnora map unit that contains the point.
160,CLS16,CLP31,8009 RAWLINGS,8009 RAWLINGS,Cleveland,1900,12627112,41.4830,-81.6315,41.4830,-81.6315,FILL,PRE,,Mitiwanga,CLP31,Mitiwanga,UnB,287274,OH035,"Urban land-Mitiwanga complex, undulating",Mitiwanga map unit that contains the point.
166,CLS16,CLP32,8009 RAWLINGS,8009 RAWLINGS,Cleveland,1900,12627112,41.4830,-81.6315,41.4830,-81.6315,NATIVE,PRE,,Mitiwanga,CLP32,Mitiwanga,UnB,287274,OH035,"Urban land-Mitiwanga complex, undulating",Mitiwanga map unit that contains the point.
173,CLS17,CLP33,2802 E 79,2802 E 79,Cleveland,1900,12627012,41.4825,-81.6329,41.4825,-81.6329,FILL,POST,,Mitiwanga,CLP33,Mitiwanga,UnB,287274,OH035,"Urban land-Mitiwanga complex, undulating",Mitiwanga map unit that contains the point.
178,CLS17,CLP34,2802 E 79,2802 E 79,Cleveland,1900,12627012,41.4825,-81.6329,41.4825,-81.6329,NATIVE,POST,,Mitiwanga,CLP34,Mitiwanga,UnB,287274,OH035,"Urban land-Mitiwanga complex, undulating",Mitiwanga map unit that contains the point.
185,CLS18,CLP35,9080 HARRIS,9080 HARRIS,Cleveland,1900,12711154,41.4708,-81.6230,41.4708,-81.6230,FILL,PRE,,Mitiwanga,CLP35,Mitiwanga,UnB,287274,OH035,"Urban land-Mitiwanga complex, undulating",Mitiwanga map unit that contains the point.
189,CLS18,CLP36,9080 HARRIS,9080 HARRIS,Cleveland,1900,12711154,41.4708,-81.6230,41.4708,-81.6230,NATIVE,PRE,,Mitiwanga,CLP36,Mitiwanga,UnB,287274,OH035,"Urban land-Mitiwanga complex, undulating",Mitiwanga map unit that contains the point.
195,CLS19,CLP37,8806 MARSHALL,8806 MARSHALL,Cleveland,1920,12711084,41.4698,-81.6255,41.4698,-81.6255,FILL,POST,,Mitiwanga,CLP37,Mitiwanga,UnB,287274,OH035,"Urban land-Mitiwanga complex, undulating",Most common and largest area Mitiwanga map unit near point.
197,CLS19,CLP38,8806 MARSHALL,8806 MARSHALL,Cleveland,1920,12711084,41.4698,-81.6255,41.4698,-81.6255,NATIVE,POST,,Mitiwanga,CLP38,Mitiwanga,UnB,287274,OH035,"Urban land-Mitiwanga complex, undulating",Most common and largest area Mitiwanga map unit near point.
206,CLS20,CLP39,2943 E 55,2943 E 55,Cleveland,1900,12502008,41.4786,-81.6514,41.4786,-81.6514,FILL,PRE,,Chili,CLP39,Chili,CnA,287287,OH035,"Chili loam, 0 to 2 percent slopes",Largest Chili map unit near point and also matches slope.
210,CLS20,CLP40,2943 E 55,2943 E 55,Cleveland,1900,12502008,41.4786,-81.6514,41.4786,-81.6514,NATIVE,PRE,,Chili,CLP40,Chili,CnA,287287,OH035,"Chili loam, 0 to 2 percent slopes",Largest Chili map unit near point and also matches slope.
216,CLS21,CLP41,6305 CARPENTER,6305 CARPENTER,Cleveland,1920,12501063,41.4797,-81.6465,41.4797,-81.6465,FILL,POST,,Mahoning,CLP41,Mahoning,UmB,287273,OH035,"Urban land-Mahoning complex, 2 to 6 percent slopes",Mahoning map unit that contains the point.
222,CLS21,CLP42,6305 CARPENTER,6305 CARPENTER,Cleveland,1920,12501063,41.4797,-81.6465,41.4797,-81.6465,NATIVE,POST,,Mahoning,CLP42,Mahoning,UmB,287273,OH035,"Urban land-Mahoning complex, 2 to 6 percent slopes",Mahoning map unit that contains the point.
225,CLS22,CLP43,3040 E 65,3040 E 65,Cleveland,1910,12512012,41.4756,-81.6452,41.4756,-81.6452,FILL,POST,,Mahoning,CLP43,Mahoning,UmB,287273,OH035,"Urban land-Mahoning complex, 2 to 6 percent slopes",Mahoning map unit that contains the point.
231,CLS22,CLP44,3040 E 65,3040 E 65,Cleveland,1910,12512012,41.4756,-81.6452,41.4756,-81.6452,NATIVE,POST,,Mahoning,CLP44,Mahoning,UmB,287273,OH035,"Urban land-Mahoning complex, 2 to 6 percent slopes",Mahoning map unit that contains the point.
238,CLS23,CLP45,4055 E 91,4055 E 91,Cleveland,1900,13408002,41.4486,-81.6231,41.4486,-81.6232,FILL,PRE,,Mahoning,CLP45,Mahoning,UmB,287273,OH035,"Urban land-Mahoning complex, 2 to 6 percent slopes",Mahoning map unit that contains the point.
240,CLS23,CLP46,4055 E 91,4055 E 91,Cleveland,1900,13408002,41.4486,-81.6231,41.4486,-81.6232,NATIVE,PRE,,Mahoning,CLP46,Mahoning,UmB,287273,OH035,"Urban land-Mahoning complex, 2 to 6 percent slopes",Mahoning map unit that contains the point.
245,CLS24,CLP47,8613 CANNON,8613 CANNON,Cleveland,1900,13328087,41.4502,-81.6263,41.4502,-81.6263,FILL,POST,,Wadsworth,CLP47,Wadsworth,WaB,287277,OH035,"Wadsworth silt loam, 2 to 6 percent slopes",No nearby Wadsworth map units. Chose Wadsworth map unit from HUC with simliar description.
250,CLS24,CLP48,8613 CANNON,8613 CANNON,Cleveland,1900,13328087,41.4502,-81.6263,41.4502,-81.6263,NATIVE,POST,,Wadsworth,CLP48,Wadsworth,WaB,287277,OH035,"Wadsworth silt loam, 2 to 6 percent slopes",No nearby Wadsworth map units. Chose Wadsworth map unit from HUC with simliar description.
255,CLS25,CLP49,9218 ARMITAGE,9218 ARMITAGE,Cleveland,1900,13329066,41.4495,-81.6221,41.4495,-81.6221,FILL,POST,,Wadsworth,CLP49,Wadsworth,WaB,287277,OH035,"Wadsworth silt loam, 2 to 6 percent slopes",No nearby Wadsworth map units. Chose Wadsworth map unit from HUC with simliar description.
260,CLS25,CLP50,9218 ARMITAGE,9218 ARMITAGE,Cleveland,1900,13329066,41.4495,-81.6221,41.4495,-81.6221,NATIVE,POST,,Mahoning,CLP50,Mahoning,UmB,287273,OH035,"Urban land-Mahoning complex, 2 to 6 percent slopes",Mahoning map unit that contains the point.
266,CLS26,CLP51,4128 E 82,4128 E 82,Cleveland,1890,13405117,41.4466,-81.6284,41.4466,-81.6285,FILL,POST,,Loudonville,CLP51,Loudonville,LuC,287247,OH035,"Loudonville-Urban land complex, rolling",Loudonville map unit that contains the point.
272,CLS26,CLP52,4128 E 82,4128 E 82,Cleveland,1890,13405117,41.4466,-81.6284,41.4466,-81.6285,NATIVE,POST,,Loudonville,CLP52,Loudonville,LuC,287247,OH035,"Loudonville-Urban land complex, rolling",Loudonville map unit that contains the point.
278,CLS27,CLP53,2524 W 19,2524 W 19,Cleveland,1870,407116,41.4781,-81.6976,41.4781,-81.6976,FILL,POST,,Elnora,CLP53,Elnora,UeA,287272,OH035,"Urban land-Elnora complex, nearly level",Elnora map unit that contains the point.
283,CLS27,CLP54,2524 W 19,2524 W 19,Cleveland,1870,407116,41.4781,-81.6976,41.4781,-81.6976,FILL,POST,No surface measurements.,Elnora,CLP54,Elnora,UeA,287272,OH035,"Urban land-Elnora complex, nearly level",Elnora map unit that contains the point.
284,CLS27,CLP55,2524 W 19,2524 W 19,Cleveland,1870,407116,41.4781,-81.6976,41.4781,-81.6976,NATIVE,POST,,Elnora,CLP55,Elnora,UeA,287272,OH035,"Urban land-Elnora complex, nearly level",Elnora map unit that contains the point.
290,CLS28,CLP56,W 20 & MOLTKE,W 20 & MOLTKE,Cleveland,1870,406070,41.4782,-81.6980,41.4783,-81.6980,FILL,POST,,Elnora,CLP56,Elnora,UeA,287272,OH035,"Urban land-Elnora complex, nearly level",Elnora map unit that contains the point.
293,CLS28,CLP57,W 20 & MOLTKE,W 20 & MOLTKE,Cleveland,1870,406070,41.4782,-81.6980,41.4783,-81.6980,NATIVE,POST,,Elnora,CLP57,Elnora,UeA,287272,OH035,"Urban land-Elnora complex, nearly level",Elnora map unit that contains the point.
298,CLS29,CLP58,2714 QUEEN,2714 QUEEN,Cleveland,1880,723064,41.4768,-81.7011,41.4768,-81.7011,FILL,PRE,,Elnora,CLP58,Elnora,UeA,287272,OH035,"Urban land-Elnora complex, nearly level",Elnora map unit that contains the point.
304,CLS29,CLP59,2714 QUEEN,2714 QUEEN,Cleveland,1880,723064,41.4768,-81.7011,41.4768,-81.7011,NATIVE,PRE,,Elnora,CLP59,Elnora,UeA,287272,OH035,"Urban land-Elnora complex, nearly level",Elnora map unit that contains the point.
316,CLS30,CLP60,4354 W 131,4354 W 131,Cleveland,1950,2311054,41.4358,-81.7815,41.4358,-81.7815,FILL,POST,,Mitiwanga,CLP60,Mitiwanga,UnB,287274,OH035,"Urban land-Mitiwanga complex, undulating",Most common and largest area Mitiwanga map unit near point.
320,CLS30,CLP61,4354 W 131,4354 W 131,Cleveland,1950,2311054,41.4358,-81.7815,41.4358,-81.7815,NATIVE,POST,,Mitiwanga,CLP61,Mitiwanga,UnB,287274,OH035,"Urban land-Mitiwanga complex, undulating",Most common and largest area Mitiwanga map unit near point.
327,CLS31,CLP62,3516 72,3516 72,Cleveland,1910,13302069,41.4628,-81.6378,41.4629,-81.6378,FILL,POST,,Elnora,CLP62,Elnora,UeA,287272,OH035,"Urban land-Elnora complex, nearly level","Widespread, and only, Elnora map unit near point."
332,CLS31,CLP63,3516 72,3516 72,Cleveland,1910,13302069,41.4628,-81.6378,41.4629,-81.6378,NATIVE,POST,,Elnora,CLP63,Elnora,UeA,287272,OH035,"Urban land-Elnora complex, nearly level","Widespread, and only, Elnora map unit near point."
343,CLS32,CLP64,3520 72,3520 72,Cleveland,1910,13302070,41.4627,-81.6378,41.4627,-81.6378,FILL,POST,,Elnora,CLP64,Elnora,UeA,287272,OH035,"Urban land-Elnora complex, nearly level","Widespread, and only, Elnora map unit near point."
349,CLS32,CLP65,3520 72,3520 72,Cleveland,1910,13302070,41.4627,-81.6378,41.4627,-81.6378,NATIVE,POST,,Elnora,CLP65,Elnora,UeA,287272,OH035,"Urban land-Elnora complex, nearly level","Widespread, and only, Elnora map unit near point."
358,CLS33,CLP66,3541 72,3541 72,Cleveland,1910,13302062,41.4621,-81.6371,41.4621,-81.6371,FILL,POST,,Elnora,CLP66,Elnora,UeA,287272,OH035,"Urban land-Elnora complex, nearly level",Elnora map unit that contains the point.
363,CLS33,CLP67,3541 72,3541 72,Cleveland,1910,13302062,41.4621,-81.6371,41.4621,-81.6371,NATIVE,POST,,Elnora,CLP67,Elnora,UeA,287272,OH035,"Urban land-Elnora complex, nearly level",Elnora map unit that contains the point.
370,CLS34,CLP68,3553 72,3553 72,Cleveland,1910,13302059,41.4618,-81.6371,41.4618,-81.6371,FILL,POST,,Elnora,CLP68,Elnora,UeA,287272,OH035,"Urban land-Elnora complex, nearly level",Elnora map unit that contains the point.
376,CLS34,CLP69,3553 72,3553 72,Cleveland,1910,13302059,41.4618,-81.6371,41.4618,-81.6371,NATIVE,POST,,Elnora,CLP69,Elnora,UeA,287272,OH035,"Urban land-Elnora complex, nearly level",Elnora map unit that contains the point.
382,CLS35,CLP70,3570 72,3570 72,Cleveland,1910,13302073,41.4614,-81.6378,41.4614,-81.6378,FILL,POST,,Elnora,CLP70,Elnora,UeA,287272,OH035,"Urban land-Elnora complex, nearly level",Elnora map unit that contains the point.
389,CLS35,CLP71,3570 72,3570 72,Cleveland,1910,13302073,41.4614,-81.6378,41.4614,-81.6378,NATIVE,POST,,Elnora,CLP71,Elnora,UeA,287272,OH035,"Urban land-Elnora complex, nearly level",Elnora map unit that contains the point.
401,CLS36,CLP72,3572 72,3572 72,Cleveland,1909,13302074,41.4612,-81.6378,41.4612,-81.6378,FILL,POST,,Elnora,CLP72,Elnora,UeA,287272,OH035,"Urban land-Elnora complex, nearly level",Elnora map unit that contains the point.
403,CLS36,CLP73,3572 72,3572 72,Cleveland,1909,13302074,41.4612,-81.6378,41.4612,-81.6378,NATIVE,POST,,Elnora,CLP73,Elnora,UeA,287272,OH035,"Urban land-Elnora complex, nearly level",Elnora map unit that contains the point.
417,CLS36,CLP74,3572 72,3572 72,Cleveland,1909,13302074,41.4612,-81.6378,41.4612,-81.6378,NATIVE,POST,,Elnora,CLP74,Elnora,UeA,287272,OH035,"Urban land-Elnora complex, nearly level",Elnora map unit that contains the point.
426,CLS37,CLP75,3584 72,3584 72,Cleveland,1900,13303070,41.4614,-81.6377,41.4609,-81.6378,FILL,POST,,Elnora,CLP75,Elnora,UeA,287272,OH035,"Urban land-Elnora complex, nearly level",Elnora map unit that contains the point.
429,CLS37,CLP76,3584 72,3584 72,Cleveland,1900,13303070,41.4614,-81.6377,41.4609,-81.6378,NATIVE,POST,,Elnora,CLP76,Elnora,UeA,287272,OH035,"Urban land-Elnora complex, nearly level",Elnora map unit that contains the point.
439,CLS38,CLP77,3587 72,3587 72,Cleveland,1910,13303058,41.4608,-81.6371,41.4608,-81.6371,FILL,POST,,Elnora,CLP77,Elnora,UeA,287272,OH035,"Urban land-Elnora complex, nearly level",Elnora map unit that contains the point.
444,CLS38,CLP78,3587 72,3587 72,Cleveland,1910,13303058,41.4608,-81.6371,41.4608,-81.6371,NATIVE,POST,,Elnora,CLP78,Elnora,UeA,287272,OH035,"Urban land-Elnora complex, nearly level",Elnora map unit that contains the point.
450,CLS39,CLP79,3593 72,3593 72,Cleveland,1910,13303059,41.4607,-81.6371,41.4607,-81.6371,FILL,POST,,Elnora,CLP79,Elnora,UeA,287272,OH035,"Urban land-Elnora complex, nearly level",Elnora map unit that contains the point.
454,CLS39,CLP80,3593 72,3593 72,Cleveland,1910,13303059,41.4607,-81.6371,41.4607,-81.6371,NATIVE,POST,,Elnora,CLP80,Elnora,UeA,287272,OH035,"Urban land-Elnora complex, nearly level",Elnora map unit that contains the point.
459,CLS40,CLP81,3594 72,3594 72,Cleveland,1900,13303068,41.4607,-81.6378,41.4607,-81.6378,FILL,POST,,Elnora,CLP81,Elnora,UeA,287272,OH035,"Urban land-Elnora complex, nearly level",Elnora map unit that contains the point.
464,CLS40,CLP82,3594 72,3594 72,Cleveland,1900,13303068,41.4607,-81.6378,41.4607,-81.6378,NATIVE,POST,,Elnora,CLP82,Elnora,UeA,287272,OH035,"Urban land-Elnora complex, nearly level",Elnora map unit that contains the point.
473,CLS41,CLP83,3598 72,3598 72,Cleveland,1910,13303067,41.4606,-81.6377,41.4606,-81.6377,FILL,POST,,Elnora,CLP83,Elnora,UeA,287272,OH035,"Urban land-Elnora complex, nearly level",Elnora map unit that contains the point.
480,CLS41,CLP84,3598 72,3598 72,Cleveland,1910,13303067,41.4606,-81.6377,41.4606,-81.6377,NATIVE,POST,,Elnora,CLP84,Elnora,UeA,287272,OH035,"Urban land-Elnora complex, nearly level",Elnora map unit that contains the point.
491,CLS42,CLP85,3601 72,3601 72,Cleveland,1910,13303061,41.4605,-81.6371,41.4605,-81.6371,FILL,POST,,Elnora,CLP85,Elnora,UeA,287272,OH035,"Urban land-Elnora complex, nearly level",Elnora map unit that contains the point.
497,CLS42,CLP86,3601 72,3601 72,Cleveland,1910,13303061,41.4605,-81.6371,41.4605,-81.6371,NATIVE,POST,,Elnora,CLP86,Elnora,UeA,287272,OH035,"Urban land-Elnora complex, nearly level",Elnora map unit that contains the point.
502,CLS43,CLP87,3602 72,3602 72,Cleveland,1910,13303066,41.4605,-81.6377,41.4605,-81.6377,FILL,POST,,Elnora,CLP87,Elnora,UeA,287272,OH035,"Urban land-Elnora complex, nearly level",Elnora map unit that contains the point.
506,CLS43,CLP88,3602 72,3602 72,Cleveland,1910,13303066,41.4605,-81.6377,41.4605,-81.6377,NATIVE,POST,,Elnora,CLP88,Elnora,UeA,287272,OH035,"Urban land-Elnora complex, nearly level",Elnora map unit that contains the point.
513,CLS44,CLP89,3556 76,3556 76,Cleveland,1912,13304082,41.4617,-81.6349,41.4617,-81.6349,FILL,POST,,Elnora,CLP89,Elnora,UeA,287272,OH035,"Urban land-Elnora complex, nearly level",Elnora map unit that contains the point.
523,CLS44,CLP90,3556 76,3556 76,Cleveland,1912,13304082,41.4617,-81.6349,41.4617,-81.6349,NATIVE,POST,,Elnora,CLP90,Elnora,UeA,287272,OH035,"Urban land-Elnora complex, nearly level",Elnora map unit that contains the point.
532,CLS45,CLP91,3558 76,3558 76,Cleveland,1910,13304083,41.4616,-81.6349,41.4616,-81.6349,FILL,POST,,Elnora,CLP91,Elnora,UeA,287272,OH035,"Urban land-Elnora complex, nearly level",Elnora map unit that contains the point.
541,CLS45,CLP92,3558 76,3558 76,Cleveland,1910,13304083,41.4616,-81.6349,41.4616,-81.6349,NATIVE,POST,,Elnora,CLP92,Elnora,UeA,287272,OH035,"Urban land-Elnora complex, nearly level",Elnora map unit that contains the point.
553,CLS46,CLP93,3565 76,3565 76,Cleveland,1900,13304065,41.4616,-81.6343,41.4616,-81.6343,FILL,POST,,Loudonville,CLP93,Loudonville,LuC,287247,OH035,"Loudonville-Urban land complex, rolling",Loudonville map unit that contains the point.
559,CLS46,CLP94,3565 76,3565 76,Cleveland,1900,13304065,41.4616,-81.6343,41.4616,-81.6343,NATIVE,POST,,Loudonville,CLP94,Loudonville,LuC,287247,OH035,"Loudonville-Urban land complex, rolling",Loudonville map unit that contains the point.
566,CLS47,CLP95,3577 76,3577 76,Cleveland,1904,13304061,41.4612,-81.6345,41.4612,-81.6347,FILL,POST,,Loudonville,CLP95,Loudonville,LuC,287247,OH035,"Loudonville-Urban land complex, rolling",Loudonville map unit that contains the point.
574,CLS47,CLP96,3577 76,3577 76,Cleveland,1904,13304061,41.4612,-81.6345,41.4612,-81.6347,NATIVE,POST,,Loudonville,CLP96,Loudonville,LuC,287247,OH035,"Loudonville-Urban land complex, rolling",Loudonville map unit that contains the point.
583,CLS48,CLP97,3597 76,3597 76,Cleveland,1900,13305088,41.4606,-81.6344,41.4606,-81.6344,FILL,POST,,Loudonville,CLP97,Loudonville,LuC,287247,OH035,"Loudonville-Urban land complex, rolling",Loudonville map unit that contains the point.
590,CLS48,CLP98,3597 76,3597 76,Cleveland,1900,13305088,41.4606,-81.6344,41.4606,-81.6344,NATIVE,POST,,Loudonville,CLP98,Loudonville,LuC,287247,OH035,"Loudonville-Urban land complex, rolling",Loudonville map unit that contains the point.
596,CLS49,CLP99,3598 76,3598 76,Cleveland,1912,13305111,41.4606,-81.6350,41.4606,-81.6350,FILL,POST,,Loudonville,CLP99,Loudonville,LuC,287247,OH035,"Loudonville-Urban land complex, rolling",Loudonville map unit that contains the point.
603,CLS49,CLP100,3598 76,3598 76,Cleveland,1912,13305111,41.4606,-81.6350,41.4606,-81.6350,NATIVE,POST,,Loudonville,CLP100,Loudonville,LuC,287247,OH035,"Loudonville-Urban land complex, rolling",Loudonville map unit that contains the point.
612,CLS50,CLP101,3606 76,3606 76,Cleveland,1912,13305109,41.4604,-81.6349,41.4604,-81.6349,FILL,POST,,Loudonville,CLP101,Loudonville,LuC,287247,OH035,"Loudonville-Urban land complex, rolling",Loudonville map unit that contains the point.
616,CLS50,CLP102,3606 76,3606 76,Cleveland,1912,13305109,41.4604,-81.6349,41.4604,-81.6349,NATIVE,POST,,Loudonville,CLP102,Loudonville,LuC,287247,OH035,"Loudonville-Urban land complex, rolling",Loudonville map unit that contains the point.
624,CLS51,CLP103,3622 76,3622 76,Cleveland,1900,13305106,41.4600,-81.6349,41.4601,-81.6349,FILL,PRE,,Loudonville,CLP103,Loudonville,LuC,287247,OH035,"Loudonville-Urban land complex, rolling",Loudonville map unit that contains the point.
