Sort,SampleSite_ID,SamplePoint_ID,SampleLayer_ID,ApproximateAddress,Sample_Layer,Soil_Series_Type,MapUnit,MapUnitName,MU_Key,SSURGO_AreaSymbol,Surface_Subsurface,UpperDepth_cm,LowerDepth_cm,Surface_Texture,Saturated_HC_DR_cmhr,Saturated_HC_DR_SE_cmhr,n_HC_DR_Measurments,Sum_HC_DR_Measurments,Saturated_HC_DR_IgnoresInfiniteValues_YN,Saturated_HC_DR_Infinite,Saturated_HC_TR_cmhr,Saturated_HC_TR_SE_cmhr,n_Tall_DR_Measurements ,Saturated_HC_SR_cmhr,Saturated_HC_SR_Infinite,Saturated_HC_SR_SE_cmhr,n_Short_DR_Measurements,Saturated_HC_SR_IgnoresInfiniteValues_YN,Unsaturated_K2cm_cmhr,Unsaturated_K2cm_SE_cmhr,Unsaturated_K2cm_STDEV_cmhr,Surface_Notes,Tenth_bar_H2O,Third_bar_H2O,Fifteen_bar_H2O,,,
272,CLS26,CLP52,CLS26CLP52L1,4128 E 82,1.00,Urban Observed,,,,,Surface,0,10,sil,8.7,,,,,,,,,,,,,,0.14,0.1,0.1,,,,,,,
278,CLS27,CLP53,CLS27CLP53L1,2524 W 19,1.00,Urban Observed,,,,,Surface,0,22,sl,92.0,,,,,,,,,,,,,,1.46,0.2,0.5,,,,,,,
284,CLS27,CLP55,CLS27CLP55L1,2524 W 19,1.00,Urban Observed,,,,,Surface,0,16,sl,21.6,,,,,,,,,,,,,,0.72,0.2,0.4,,,,,,,
290,CLS28,CLP56,CLS28CLP56L1,W 20 & MOLTKE,1.00,Urban Observed,,,,,Surface,0,43,l,78.0,,,,,,,,,,,,,,1.38,0.3,0.6,,,,,,,
293,CLS28,CLP57,CLS28CLP57L1,W 20 & MOLTKE,1.00,Urban Observed,,,,,Surface,0,63,sl,129.3,,,,,,,,,,,,,,0.63,0.1,0.1,,,,,,,
298,CLS29,CLP58,CLS29CLP58L1,2714 QUEEN,1.00,Urban Observed,,,,,Surface,0,26,l,112.8,,,,,,,,,,,,,,4.64,1.5,3.0,,,,,,,
304,CLS29,CLP59,CLS29CLP59L1,2714 QUEEN,1.00,Urban Observed,,,,,Surface,0,68,ls,152.0,,,,,,,,,,,,,,0.31,0.1,0.2,,,,,,,
316,CLS30,CLP60,CLS30CLP60L1,4354 W 131,1.00,Urban Observed,,,,,Surface,0,20,l,0.6,,,,,,,,,,,,,,,,,,,,,,,
320,CLS30,CLP61,CLS30CLP61L1,4354 W 131,1.00,Urban Observed,,,,,Surface,0,11,sil,25.4,,,,,,,,,,,,,,,,,,,,,,,
327,CLS31,CLP62,CLS31CLP62L1,3516 72,1.00,Urban Observed,,,,,Surface,0,27,l,95.9,,,,,,,,,,,,,,1.18,0.6,1.1,,,,,,,
332,CLS31,CLP63,CLS31CLP63L1,3516 72,1.00,Urban Observed,,,,,Surface,0,20,sl,93.3,,,,,,,,,,,,,,1.52,0.4,0.7,,,,,,,
343,CLS32,CLP64,CLS32CLP64L1,3520 72,1.00,Urban Observed,,,,,Surface,0,38,l,60.0,,,,,,,,,,,,,,1.78,0.2,0.4,,,,,,,
349,CLS32,CLP65,CLS32CLP65L1,3520 72,1.00,Urban Observed,,,,,Surface,0,20,sil,98.4,,,,,,,,,,,,,,0.98,0.1,0.2,,,,,,,
358,CLS33,CLP66,CLS33CLP66L1,3541 72,1.00,Urban Observed,,,,,Surface,0,35,l,10.8,,,,,,,,,,,,,,2.15,0.5,1.0,,,,,,,
363,CLS33,CLP67,CLS33CLP67L1,3541 72,1.00,Urban Observed,,,,,Surface,0,42,l,76.5,,,,,,,,,,,,,,0.57,0.1,0.2,,,,,,,
370,CLS34,CLP68,CLS34CLP68L1,3553 72,1.00,Urban Observed,,,,,Surface,0,58,l,8.0,,,,,,,,,,,,,,0.78,0.3,0.6,,,,,,,
376,CLS34,CLP69,CLS34CLP69L1,3553 72,1.00,Urban Observed,,,,,Surface,0,60,l,0.0,,,,,,,,,,,,,,0.43,0.1,0.1,,,,,,,
382,CLS35,CLP70,CLS35CLP70L1,3570 72,1.00,Urban Observed,,,,,Surface,0,35,sl,32.8,,,,,,,,,,,,,,1.89,0.9,1.9,,,,,,,
389,CLS35,CLP71,CLS35CLP71L1,3570 72,1.00,Urban Observed,,,,,Surface,0,18,sl,50.4,,,,,,,,,,,,,,1.43,0.2,0.5,,,,,,,
401,CLS36,CLP72,CLS36CLP72L1,3572 72,1.00,Urban Observed,,,,,Surface,NA,NA,ND,20.0,,,,,,,,,,,,,,1.55,0.2,0.3,,,,,,,
403,CLS36,CLP73,CLS36CLP73L1,3572 72,1.00,Urban Observed,,,,,Surface,0,25,l,109.2,,,,,,,,,,,,,,0.18,0.0,0.0,,,,,,,
417,CLS36,CLP74,CLS36CLP74L1,3572 72,1.00,Urban Observed,,,,,Surface,0,60,sl,109.2,,,,,,,,,,,,,,0.18,0.0,0.0,,,,,,,
426,CLS37,CLP75,CLS37CLP75L1,3584 72,1.00,Urban Observed,,,,,Surface,0,24,l,4.4,,,,,,,,,,,,,,0.52,0.0,0.0,,,,,,,
429,CLS37,CLP76,CLS37CLP76L1,3584 72,1.00,Urban Observed,,,,,Surface,0,23,l,4.4,,,,,,,,,,,,,,1.55,0.0,0.0,,,,,,,
439,CLS38,CLP77,CLS38CLP77L1,3587 72,1.00,Urban Observed,,,,,Surface,0,30,sl,34.0,,,,,,,,,,,,,,1.15,0.0,0.1,,,,,,,
444,CLS38,CLP78,CLS38CLP78L1,3587 72,1.00,Urban Observed,,,,,Surface,0,35,fsl,33.6,,,,,,,,,,,,,,0.37,0.2,0.4,,,,,,,
450,CLS39,CLP79,CLS39CLP79L1,3593 72,1.00,Urban Observed,,,,,Surface,0,30,l,120.0,,,,,,,,,,,,,,0.63,0.0,0.0,,,,,,,
454,CLS39,CLP80,CLS39CLP80L1,3593 72,1.00,Urban Observed,,,,,Surface,0,50,sil,47.2,,,,,,,,,,,,,,,,,,,,,,,
459,CLS40,CLP81,CLS40CLP81L1,3594 72,1.00,Urban Observed,,,,,Surface,0,15,l,30.0,,,,,,,,,,,,,,0.26,0.1,0.1,,,,,,,
464,CLS40,CLP82,CLS40CLP82L1,3594 72,1.00,Urban Observed,,,,,Surface,0,20,l,37.6,,,,,,,,,,,,,,0.57,0.0,0.0,,,,,,,
473,CLS41,CLP83,CLS41CLP83L1,3598 72,1.00,Urban Observed,,,,,Surface,0,18,l,120.0,,,,,,,,,,,,,,0.20,0.0,0.0,,,,,,,
480,CLS41,CLP84,CLS41CLP84L1,3598 72,1.00,Urban Observed,,,,,Surface,0,28,l,29.6,,,,,,,,,,,,,,1.92,1.0,2.1,,,,,,,
491,CLS42,CLP85,CLS42CLP85L1,3601 72,1.00,Urban Observed,,,,,Surface,0,50,l,2.9,,,,,,,,,,,,,,0.57,0.2,0.4,,,,,,,
497,CLS42,CLP86,CLS42CLP86L1,3601 72,1.00,Urban Observed,,,,,Surface,0,40,l,30.0,,,,,,,,,,,,,,0.29,0.0,0.0,,,,,,,
502,CLS43,CLP87,CLS43CLP87L1,3602 72,1.00,Urban Observed,,,,,Surface,0,60,sl,135.0,,,,,,,,,,,,,,1.20,0.2,0.4,,,,,,,
506,CLS43,CLP88,CLS43CLP88L1,3602 72,1.00,Urban Observed,,,,,Surface,0,35,sl,28.4,,,,,,,,,,,,,,0.05,0.0,0.1,,,,,,,
513,CLS44,CLP89,CLS44CLP89L1,3556 76,1.00,Urban Observed,,,,,Surface,0,18,l,2.0,,,,,,,,,,,,,,0.17,,,,,,,,,
523,CLS44,CLP90,CLS44CLP90L1,3556 76,1.00,Urban Observed,,,,,Surface,0,25,l,24.0,,,,,,,,,,,,,,0.43,0.2,0.4,,,,,,,
532,CLS45,CLP91,CLS45CLP91L1,3558 76,1.00,Urban Observed,,,,,Surface,0,38,sl,27.3,,,,,,,,,,,,,,4.01,0.5,1.0,,,,,,,
541,CLS45,CLP92,CLS45CLP92L1,3558 76,1.00,Urban Observed,,,,,Surface,0,30,l,84.8,,,,,,,,,,,,,,1.61,0.7,1.3,,,,,,,
553,CLS46,CLP93,CLS46CLP93L1,3565 76,1.00,Urban Observed,,,,,Surface,0,18,l,6.8,,,,,,,,,,,,,,2.99,0.5,0.9,,,,,,,
559,CLS46,CLP94,CLS46CLP94L1,3565 76,1.00,Urban Observed,,,,,Surface,0,35,l,18.4,,,,,,,,,,,,,,0.84,0.6,1.2,,,,,,,
566,CLS47,CLP95,CLS47CLP95L1,3577 76,1.00,Urban Observed,,,,,Surface,0,5,l,57.0,,,,,,,,,,,,,,2.27,0.0,0.0,,,,,,,
574,CLS47,CLP96,CLS47CLP96L1,3577 76,1.00,Urban Observed,,,,,Surface,0,18,sl,34.4,,,,,,,,,,,,,,3.18,0.3,0.6,,,,,,,
583,CLS48,CLP97,CLS48CLP97L1,3597 76,1.00,Urban Observed,,,,,Surface,0,22,sl,33.2,,,,,,,,,,,,,,1.75,0.2,0.4,,,,,,,
590,CLS48,CLP98,CLS48CLP98L1,3597 76,1.00,Urban Observed,,,,,Surface,0,25,ls,34.8,,,,,,,,,,,,,,2.74,1.1,2.2,,,,,,,
596,CLS49,CLP99,CLS49CLP99L1,3598 76,1.00,Urban Observed,,,,,Surface,0,20,l,16.8,,,,,,,,,,,,,,0.26,0.1,0.2,,,,,,,
603,CLS49,CLP100,CLS49CLP100L1,3598 76,1.00,Urban Observed,,,,,Surface,0,15,l,53.6,,,,,,,,,,,,,,0.55,0.1,0.1,,,,,,,
612,CLS50,CLP101,CLS50CLP101L1,3606 76,1.00,Urban Observed,,,,,Surface,0,25,ls,4.8,,,,,,,,,,,,,,2.67,0.5,1.1,,,,,,,
616,CLS50,CLP102,CLS50CLP102L1,3606 76,1.00,Urban Observed,,,,,Surface,0,20,sl,4.7,,,,,,,,,,,,,,1.57,0.0,0.0,,,,,,,
624,CLS51,CLP103,CLS51CLP103L1,3622 76,1.00,Urban Observed,,,,,Surface,0,25,sl,25.6,,,,,,,,,,,,,,7.78,2.0,4.0,,,,,,,
631,CLS51,CLP105,CLS51CLP105L1,3622 76,1.00,Urban Observed,,,,,Surface,0,95,sl,,,,,,,,,,,,,,,,0.0,,,,,,,,
635,CLS51,CLP107,CLS51CLP107L1,3622 76,1.00,Urban Observed,,,,,Surface,0,20,sl,24.8,,,,,,,,,,,,,,0.97,0.1,0.2,,,,,,,
646,CLS52,CLP109,CLS52CLP109L1,3298 Brookpark Rd,1.00,Urban Observed,,,,,Surface,NA,NA,sil,30.0,,,,,,,,,,,,,,,,,,,,,,,
648,CLS52,CLP110,CLS52CLP110L1,3298 Brookpark Rd,1.00,Urban Observed,,,,,Surface,NA,NA,sil,30.0,,,,,,,,,,,,,,0.39,0.0,0.0,,,,,,,
651,CLS53,CLP111,CLS53CLP111L1,12300 Euclid,1.00,Urban Observed,,,,,Surface,0,24,sil,25.5,,,,,,,,,,,,,,,,,,,,,,,
657,CLS54,CLP112,CLS54CLP112L1,680 E 113,1.00,Urban Observed,,,,,Surface,0,18,l,53.3,,,,,,,,,,,,,,0.63,,,,,,,,,
662,CLS54,CLP113,CLS54CLP113L1,680 E 113,1.00,Urban Observed,,,,,Surface,0,24,sil,57.5,,,,,,,,,,,,,,,,,,,,,,,
669,CLS55,CLP114,CLS55CLP114L1,9901 Lamont,1.00,Urban Observed,,,,,Surface,0,45,sl,14.0,,,,,,,,,,,,,,0.23,,,,,,,,,
677,CLS56,CLP115,CLS56CLP115L1,MLK & E 105,1.00,Urban Observed,,,,,Surface,0,17,sil,6.9,,,,,,,,,,,,,,0.41,,,,,,,,,
682,CLS56,CLP116,CLS56CLP116L1,MLK & E 105,1.00,Urban Observed,,,,,Surface,,,ND,13.2,,,,,,,,,,,,,,,,,,,,,,,
684,CLS57,CLP117,CLS57CLP117L1,E 79 & Sowinski,1.00,Urban Observed,,,,,Surface,0,30,l,24.4,,,,,,,,,,,,,,0.52,,,,,,,,,
690,CLS57,CLP118,CLS57CLP118L1,E 79 & Sowinski,1.00,Urban Observed,,,,,Subsurface,,,ND,14.8,,,,,,,,,,,,,,,,,,,,,,,
692,CLS58,CLP119,CLS58CLP119L1,647 E 88,1.00,Urban Observed,,,,,Surface,0,20,fsl,62.4,,,,,,,,,,,,,,0.46,,,,,,,,,
696,CLS58,CLP120,CLS58CLP120L1,647 E 88,1.00,Urban Observed,,,,,Surface,0,30,l,1.8,,,,,,,,,,,,,,,,,,,,,,,
701,CLS59,CLP121,CLS59CLP121L1,E 64 & Waterman,1.00,Urban Observed,,,,,Surface,0,32,l,57.2,,,,,,,,,,,,,,0.47,,,,,,,,,
708,CLS59,CLP122,CLS59CLP122L1,E 64 & Waterman,1.00,Urban Observed,,,,,Surface,,,ND,55.6,,,,,,,,,,,,,,,,,,,,,,,
710,CLS60,CLP123,CLS60CLP123L1,W 11 & Castle,1.00,Urban Observed,,,,,Surface,0,45,sl,89.6,,,,,,,,,,,,,,0.31,0.3,0.6,,,,,,,
715,CLS60,CLP124,CLS60CLP124L1,W 11 & Castle,1.00,Urban Observed,,,,,Surface,,,ND,137.3,,,,,,,,,,,,,,0.42,0.0,0.0,,,,,,,
717,CLS61,CLP125,CLS61CLP125L1,W 14 & Starkweather,1.00,Urban Observed,,,,,Surface,0,23,ls,84.0,,,,,,,,,,,,,,1.56,0.2,0.3,,,,,,,
723,CLS61,CLP126,CLS61CLP126L1,W 14 & Starkweather,1.00,Urban Observed,,,,,Surface,0,28,ls,135.3,,,,,,,,,,,,,,2.42,0.8,1.7,,,,,,,
728,CLS62,CLP127,CLS62CLP127L1,W 19 & Smith,1.00,Urban Observed,,,,,Surface,0,30,fsl,450.0,,,,,,,,,,,,,,1.57,0.6,1.1,,,,,,,
732,CLS62,CLP128,CLS62CLP128L1,W 19 & Smith,1.00,Urban Observed,,,,,Surface,,,ND,53.2,,,,,,,,,,,,,,0.84,0.1,0.2,,,,,,,
734,CLS63,CLP129,CLS63CLP129L1,25 & Ralph,1.00,Urban Observed,,,,,Surface,0,30,l,154.0,,,,,,,,,,,,,,1.50,0.7,1.4,,,,,,,
740,CLS63,CLP130,CLS63CLP130L1,25 & Ralph,1.00,Urban Observed,,,,,Surface,,,ND,59.6,,,,,,,,,,,,,,2.78,1.7,3.5,,,,,,,
742,CLS64,CLP131,CLS64CLP131L1,E 74 & Irma,1.00,Urban Observed,,,,,Surface,0,45,l,0.0,,,,,,,,,,,,,,0.00,0.0,0.0,,,,,,,
749,CLS65,CLP132,CLS65CLP132L1,E 72 (south of Shoreway),1.00,Urban Observed,,,,,Surface,NA,NA,ND,0.0,,,,,,,,,,,,,,0.00,0.0,0.0,,,,,,,
751,DS1,DP1,DS1DP1L1,18446 Greenview,1.00,Urban Observed,,,,,Surface,0,15,scl,,,,,,,,,,,,,,,0.29,0.1,,,,,,,,
756,DS1,DP2,DS1DP2L1,18446 Greenview,1.00,Urban Observed,,,,,Surface,0,25,sl,,,,,,,,,,,,,,,,,,,,,,,,
760,DS2,DP3,DS2DP3L1,19115 Margaretta,1.00,Urban Observed,,,,,Surface,0,46,sl,,,,,,,,,,,,,,,0.65,0.2,,,,,,,,
767,DS2,DP4,DS2DP4L1,19115 Margaretta,1.00,Urban Observed,,,,,Surface,0,20,fsl,,,,,,,,,,,,,,,2.83,0.8,,,,,,,,
774,DS3,DP5,DS3DP5L1,15126 Stout,1.00,Urban Observed,,,,,Surface,0,30,scl,,,,,,,,,,,,,,,0.14,0.1,,,,,,,,
779,DS3,DP6,DS3DP6L1,15126 Stout,1.00,Urban Observed,,,,,Surface,0,10,ls,,,,,,,,,,,,,,,0.75,0.2,,,,,,,,
785,DS4,DP7,DS4DP7L1,15133 Stout,1.00,Urban Observed,,,,,Surface,0,10,ls,,,,,,,,,,,,,,,2.40,0.6,,,,,,,,
792,DS4,DP8,DS4DP8L1,15133 Stout,1.00,Urban Observed,,,,,Surface,0,56,fsl,,,,,,,,,,,,,,,1.54,0.5,,,,,,,,
796,DS5,DP9,DS5DP9L1,15199 Fielding,1.00,Urban Observed,,,,,Surface,0,30,l,,,,,,,,,,,,,,,0.30,0.1,,,,,,,,
801,DS5,DP10,DS5DP10L1,15199 Fielding,1.00,Urban Observed,,,,,Surface,0,41,ls,,,,,,,,,,,,,,,1.40,0.1,,,,,,,,
809,DS6,DP11,DS6DP11L1,15051 Pierson,1.00,Urban Observed,,,,,Surface,0,86,sl,,,,,,,,,,,,,,,0.38,0.1,,,,,,,,
814,DS6,DP12,DS6DP12L1,15051 Pierson,1.00,Urban Observed,,,,,Surface,0,81,l,,,,,,,,,,,,,,,0.02,0.0,,,,,,,,
820,DS7,DP13,DS7DP13L1,15046 Blackstone,1.00,Urban Observed,,,,,Surface,0,15,fsl,,,,,,,,,,,,,,,1.69,0.1,,,,,,,,
826,DS7,DP14,DS7DP14L1,15046 Blackstone,1.00,Urban Observed,,,,,Surface,0,20,sl,,,,,,,,,,,,,,,13.60,12.0,,,,,,,,
834,DS8,DP15,DS8DP15L1,14195 Bentler,1.00,Urban Observed,,,,,Surface,0,30,fsl,,,,,,,,,,,,,,,0.30,0.1,,,,,,,,
840,DS8,DP16,DS8DP16L1,14195 Bentler,1.00,Urban Observed,,,,,Surface,0,81,sl,,,,,,,,,,,,,,,0.14,0.1,,,,,,,,
